"gene_id","tissue","method","cs_id","modality","n_scored","cs_score","cs_size","signal_id","group"
"ENSG00000001036","AC","ash",1,"CHIP_HISTONE",38,0.297865463963621,38,3601,"Standard+ASH"
"ENSG00000001036","AC","ash",1,"RNA_SEQ",38,0.550730568646992,38,3601,"Standard+ASH"
"ENSG00000001036","AC","standard",1,"CHIP_HISTONE",41,0.303333289192028,41,3601,"Standard+ASH"
"ENSG00000001036","AC","standard",1,"RNA_SEQ",41,0.553815438102952,41,3601,"Standard+ASH"
"ENSG00000001561","AC","ash",1,"CHIP_HISTONE",7,0.713301513459364,7,3603,"Consensus"
"ENSG00000001561","AC","ash",1,"RNA_SEQ",7,0.673013910224351,7,3603,"Consensus"
"ENSG00000001561","AC","ash",2,"CHIP_HISTONE",1,0.599879789352417,1,3602,"Consensus"
"ENSG00000001561","AC","ash",2,"RNA_SEQ",1,0.999702632427216,1,3602,"Consensus"
"ENSG00000001561","AC","inf",1,"CHIP_HISTONE",7,0.70573138627812,7,3603,"Consensus"
"ENSG00000001561","AC","inf",1,"RNA_SEQ",7,0.681841663815945,7,3603,"Consensus"
"ENSG00000001561","AC","inf",2,"CHIP_HISTONE",1,0.599879789352417,1,3602,"Consensus"
"ENSG00000001561","AC","inf",2,"RNA_SEQ",1,0.999702632427216,1,3602,"Consensus"
"ENSG00000001561","AC","standard",1,"CHIP_HISTONE",7,0.703189850337306,7,3603,"Consensus"
"ENSG00000001561","AC","standard",1,"RNA_SEQ",7,0.688516348689845,7,3603,"Consensus"
"ENSG00000001561","AC","standard",2,"CHIP_HISTONE",1,0.599879789352417,1,3602,"Consensus"
"ENSG00000001561","AC","standard",2,"RNA_SEQ",1,0.999702632427216,1,3602,"Consensus"
"ENSG00000001561","DLPFC","ash",1,"CHIP_HISTONE",11,0.537110809579514,11,3604,"Consensus"
"ENSG00000001561","DLPFC","ash",1,"CHIP_TF",11,0.488464493111722,11,3604,"Consensus"
"ENSG00000001561","DLPFC","ash",1,"DNASE",11,0.526793096532973,11,3604,"Consensus"
"ENSG00000001561","DLPFC","ash",1,"RNA_SEQ",11,0.588957117085806,11,3604,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"CHIP_HISTONE",11,0.532980711511377,11,3604,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"CHIP_TF",11,0.484134836384655,11,3604,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"DNASE",11,0.519676622987255,11,3604,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"RNA_SEQ",11,0.595718620996333,11,3604,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"CHIP_HISTONE",11,0.536232845714803,11,3604,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"CHIP_TF",11,0.489831559875929,11,3604,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"DNASE",11,0.531670400463593,11,3604,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"RNA_SEQ",11,0.588473047655841,11,3604,"Consensus"
"ENSG00000001561","PCC","ash",1,"CHIP_HISTONE",11,0.570980285207639,11,3605,"Consensus"
"ENSG00000001561","PCC","ash",1,"DNASE",11,0.453060543445715,11,3605,"Consensus"
"ENSG00000001561","PCC","inf",1,"CHIP_HISTONE",11,0.5714164303745,11,3605,"Consensus"
"ENSG00000001561","PCC","inf",1,"DNASE",11,0.456155855481434,11,3605,"Consensus"
"ENSG00000001561","PCC","standard",1,"CHIP_HISTONE",11,0.570642118775812,11,3605,"Consensus"
"ENSG00000001561","PCC","standard",1,"DNASE",11,0.450535207372338,11,3605,"Consensus"
"ENSG00000003147","PCC","ash",1,"CHIP_HISTONE",8,0.318049475659657,8,3816,"Standard+ASH"
"ENSG00000003147","PCC","ash",1,"DNASE",8,0.46937244647323,8,3816,"Standard+ASH"
"ENSG00000003147","PCC","standard",1,"CHIP_HISTONE",9,0.326436180935114,9,3816,"Standard+ASH"
"ENSG00000003147","PCC","standard",1,"DNASE",9,0.474841518374717,9,3816,"Standard+ASH"
"ENSG00000004399","AC","ash",1,"CHIP_HISTONE",9,0.256404702138341,9,2898,"Consensus"
"ENSG00000004399","AC","ash",1,"RNA_SEQ",9,0.517330919978653,9,2898,"Consensus"
"ENSG00000004399","AC","ash",2,"CHIP_HISTONE",70,0.4005793283323,70,2897,"Standard+ASH"
"ENSG00000004399","AC","ash",2,"RNA_SEQ",70,0.488021621371852,70,2897,"Standard+ASH"
"ENSG00000004399","AC","inf",1,"CHIP_HISTONE",9,0.291976890121933,9,2898,"Consensus"
"ENSG00000004399","AC","inf",1,"RNA_SEQ",9,0.495196922544587,9,2898,"Consensus"
"ENSG00000004399","AC","standard",1,"CHIP_HISTONE",10,0.317100644201982,10,2898,"Consensus"
"ENSG00000004399","AC","standard",1,"RNA_SEQ",10,0.479386392072259,10,2898,"Consensus"
"ENSG00000004399","AC","standard",2,"CHIP_HISTONE",79,0.399112611612722,79,2897,"Standard+ASH"
"ENSG00000004399","AC","standard",2,"RNA_SEQ",79,0.489934805368073,79,2897,"Standard+ASH"
"ENSG00000004399","DLPFC","ash",1,"CHIP_HISTONE",19,0.18891618690653,19,2900,"Consensus"
"ENSG00000004399","DLPFC","ash",1,"CHIP_TF",19,0.42577475598616,19,2900,"Consensus"
"ENSG00000004399","DLPFC","ash",1,"DNASE",19,0.523196797210614,19,2900,"Consensus"
"ENSG00000004399","DLPFC","ash",1,"RNA_SEQ",19,0.627275892637476,19,2900,"Consensus"
"ENSG00000004399","DLPFC","ash",2,"CHIP_HISTONE",1,0.0199272719522317,1,2899,"Consensus"
"ENSG00000004399","DLPFC","ash",2,"CHIP_TF",1,0.103452436625957,1,2899,"Consensus"
"ENSG00000004399","DLPFC","ash",2,"DNASE",1,0.449849426746368,1,2899,"Consensus"
"ENSG00000004399","DLPFC","ash",2,"RNA_SEQ",1,0.999391406774521,1,2899,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"CHIP_HISTONE",19,0.188343721892882,19,2900,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"CHIP_TF",19,0.423999246052178,19,2900,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"DNASE",19,0.523333365810618,19,2900,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"RNA_SEQ",19,0.627497798856121,19,2900,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"CHIP_HISTONE",1,0.0199272719522317,1,2899,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"CHIP_TF",1,0.103452436625957,1,2899,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"DNASE",1,0.449849426746368,1,2899,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"RNA_SEQ",1,0.999391406774521,1,2899,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"CHIP_HISTONE",19,0.192769668161397,19,2900,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"CHIP_TF",19,0.431029887421599,19,2900,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"DNASE",19,0.524185506668582,19,2900,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"RNA_SEQ",19,0.626654295113711,19,2900,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"CHIP_HISTONE",1,0.0199272719522317,1,2899,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"CHIP_TF",1,0.103452436625957,1,2899,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"DNASE",1,0.449849426746368,1,2899,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"RNA_SEQ",1,0.999391406774521,1,2899,"Consensus"
"ENSG00000004399","PCC","ash",1,"CHIP_HISTONE",21,0.329850132207681,21,2901,"Consensus"
"ENSG00000004399","PCC","ash",1,"DNASE",21,0.522398106492094,21,2901,"Consensus"
"ENSG00000004399","PCC","inf",1,"CHIP_HISTONE",21,0.321976153426629,21,2901,"Consensus"
"ENSG00000004399","PCC","inf",1,"DNASE",21,0.514491742988237,21,2901,"Consensus"
"ENSG00000004399","PCC","standard",1,"CHIP_HISTONE",21,0.329929881753012,21,2901,"Consensus"
"ENSG00000004399","PCC","standard",1,"DNASE",21,0.522792740303088,21,2901,"Consensus"
"ENSG00000004766","AC","ash",1,"CHIP_HISTONE",1,0.133527368307114,1,3817,"Consensus"
"ENSG00000004766","AC","ash",1,"RNA_SEQ",1,0.997084379196167,1,3817,"Consensus"
"ENSG00000004766","AC","inf",1,"CHIP_HISTONE",1,0.133527368307114,1,3817,"Consensus"
"ENSG00000004766","AC","inf",1,"RNA_SEQ",1,0.997084379196167,1,3817,"Consensus"
"ENSG00000004766","AC","standard",1,"CHIP_HISTONE",1,0.133527368307114,1,3817,"Consensus"
"ENSG00000004766","AC","standard",1,"RNA_SEQ",1,0.997084379196167,1,3817,"Consensus"
"ENSG00000005156","AC","ash",1,"CHIP_HISTONE",9,0.463294573650939,9,1381,"Consensus"
"ENSG00000005156","AC","ash",1,"RNA_SEQ",9,0.45779261685509,9,1381,"Consensus"
"ENSG00000005156","AC","ash",2,"CHIP_HISTONE",22,0.34655751840381,22,1382,"Consensus"
"ENSG00000005156","AC","ash",2,"RNA_SEQ",22,0.548333929099926,22,1382,"Consensus"
