gene_id,tissue,method,cs_id,modality,n_scored,cs_score,cs_size
ENSG00000001036,AC,ash,1,CHIP_HISTONE,38,0.29786546396362096,38
ENSG00000001036,AC,ash,1,RNA_SEQ,38,0.5507305686469917,38
ENSG00000001036,AC,standard,1,CHIP_HISTONE,41,0.3033332891920282,41
ENSG00000001036,AC,standard,1,RNA_SEQ,41,0.5538154381029518,41
ENSG00000001561,AC,ash,1,CHIP_HISTONE,7,0.7133015134593641,7
ENSG00000001561,AC,ash,1,RNA_SEQ,7,0.6730139102243509,7
ENSG00000001561,AC,ash,2,CHIP_HISTONE,1,0.599879789352417,1
ENSG00000001561,AC,ash,2,RNA_SEQ,1,0.9997026324272156,1
ENSG00000001561,AC,inf,1,CHIP_HISTONE,7,0.7057313862781203,7
ENSG00000001561,AC,inf,1,RNA_SEQ,7,0.6818416638159447,7
ENSG00000001561,AC,inf,2,CHIP_HISTONE,1,0.599879789352417,1
ENSG00000001561,AC,inf,2,RNA_SEQ,1,0.9997026324272156,1
ENSG00000001561,AC,standard,1,CHIP_HISTONE,7,0.7031898503373059,7
ENSG00000001561,AC,standard,1,RNA_SEQ,7,0.6885163486898453,7
ENSG00000001561,AC,standard,2,CHIP_HISTONE,1,0.599879789352417,1
ENSG00000001561,AC,standard,2,RNA_SEQ,1,0.9997026324272156,1
ENSG00000001561,DLPFC,ash,1,CHIP_HISTONE,11,0.5371108095795142,11
ENSG00000001561,DLPFC,ash,1,CHIP_TF,11,0.48846449311172224,11
ENSG00000001561,DLPFC,ash,1,DNASE,11,0.5267930965329726,11
ENSG00000001561,DLPFC,ash,1,RNA_SEQ,11,0.588957117085806,11
ENSG00000001561,DLPFC,inf,1,CHIP_HISTONE,11,0.5329807115113768,11
ENSG00000001561,DLPFC,inf,1,CHIP_TF,11,0.4841348363846551,11
ENSG00000001561,DLPFC,inf,1,DNASE,11,0.5196766229872546,11
ENSG00000001561,DLPFC,inf,1,RNA_SEQ,11,0.5957186209963332,11
ENSG00000001561,DLPFC,standard,1,CHIP_HISTONE,11,0.5362328457148026,11
ENSG00000001561,DLPFC,standard,1,CHIP_TF,11,0.4898315598759293,11
ENSG00000001561,DLPFC,standard,1,DNASE,11,0.5316704004635932,11
ENSG00000001561,DLPFC,standard,1,RNA_SEQ,11,0.5884730476558409,11
ENSG00000001561,PCC,ash,1,CHIP_HISTONE,11,0.5709802852076391,11
ENSG00000001561,PCC,ash,1,DNASE,11,0.453060543445715,11
ENSG00000001561,PCC,inf,1,CHIP_HISTONE,11,0.5714164303745005,11
ENSG00000001561,PCC,inf,1,DNASE,11,0.4561558554814343,11
ENSG00000001561,PCC,standard,1,CHIP_HISTONE,11,0.5706421187758121,11
ENSG00000001561,PCC,standard,1,DNASE,11,0.4505352073723378,11
ENSG00000003147,PCC,ash,1,CHIP_HISTONE,8,0.3180494756596572,8
ENSG00000003147,PCC,ash,1,DNASE,8,0.4693724464732297,8
ENSG00000003147,PCC,standard,1,CHIP_HISTONE,9,0.3264361809351142,9
ENSG00000003147,PCC,standard,1,DNASE,9,0.4748415183747173,9
ENSG00000004399,AC,ash,1,CHIP_HISTONE,9,0.25640470213834116,9
ENSG00000004399,AC,ash,1,RNA_SEQ,9,0.5173309199786532,9
ENSG00000004399,AC,ash,2,CHIP_HISTONE,70,0.40057932833230026,70
ENSG00000004399,AC,ash,2,RNA_SEQ,70,0.48802162137185184,70
ENSG00000004399,AC,inf,1,CHIP_HISTONE,9,0.29197689012193306,9
ENSG00000004399,AC,inf,1,RNA_SEQ,9,0.4951969225445869,9
ENSG00000004399,AC,standard,1,CHIP_HISTONE,10,0.3171006442019821,10
ENSG00000004399,AC,standard,1,RNA_SEQ,10,0.4793863920722594,10
ENSG00000004399,AC,standard,2,CHIP_HISTONE,79,0.3991126116127216,79
ENSG00000004399,AC,standard,2,RNA_SEQ,79,0.4899348053680732,79
ENSG00000004399,DLPFC,ash,1,CHIP_HISTONE,19,0.18891618690652992,19
ENSG00000004399,DLPFC,ash,1,CHIP_TF,19,0.4257747559861597,19
