"gene_id","tissue","method","cs_id","modality","n_scored","cs_score","cs_size","signal_id","group"
"ENSG00000001036","AC","standard",1,"CHIP_HISTONE",41,0.303333289192028,41,3501,"Standard-specific"
"ENSG00000001036","AC","standard",1,"RNA_SEQ",41,0.553815438102952,41,3501,"Standard-specific"
"ENSG00000001561","AC","inf",1,"RNA_SEQ",7,0.681841663815945,7,3503,"Consensus"
"ENSG00000001561","AC","inf",1,"CHIP_HISTONE",7,0.70573138627812,7,3503,"Consensus"
"ENSG00000001561","AC","inf",2,"RNA_SEQ",1,0.999702632427216,1,3502,"Consensus"
"ENSG00000001561","AC","inf",2,"CHIP_HISTONE",1,0.599879789352417,1,3502,"Consensus"
"ENSG00000001561","AC","standard",1,"RNA_SEQ",7,0.688516348689845,7,3503,"Consensus"
"ENSG00000001561","AC","standard",1,"CHIP_HISTONE",7,0.703189850337306,7,3503,"Consensus"
"ENSG00000001561","AC","standard",2,"RNA_SEQ",1,0.999702632427216,1,3502,"Consensus"
"ENSG00000001561","AC","standard",2,"CHIP_HISTONE",1,0.599879789352417,1,3502,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"CHIP_TF",11,0.484134836384655,11,3504,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"DNASE",11,0.519676622987255,11,3504,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"RNA_SEQ",11,0.595718620996333,11,3504,"Consensus"
"ENSG00000001561","DLPFC","inf",1,"CHIP_HISTONE",11,0.532980711511377,11,3504,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"CHIP_HISTONE",11,0.536232845714803,11,3504,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"DNASE",11,0.531670400463593,11,3504,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"RNA_SEQ",11,0.588473047655841,11,3504,"Consensus"
"ENSG00000001561","DLPFC","standard",1,"CHIP_TF",11,0.489831559875929,11,3504,"Consensus"
"ENSG00000001561","PCC","inf",1,"CHIP_HISTONE",11,0.5714164303745,11,3505,"Consensus"
"ENSG00000001561","PCC","inf",1,"DNASE",11,0.456155855481434,11,3505,"Consensus"
"ENSG00000001561","PCC","standard",1,"CHIP_HISTONE",11,0.570642118775812,11,3505,"Consensus"
"ENSG00000001561","PCC","standard",1,"DNASE",11,0.450535207372338,11,3505,"Consensus"
"ENSG00000003147","PCC","standard",1,"CHIP_HISTONE",9,0.326436180935114,9,3712,"Standard-specific"
"ENSG00000003147","PCC","standard",1,"DNASE",9,0.474841518374717,9,3712,"Standard-specific"
"ENSG00000004399","AC","inf",1,"RNA_SEQ",9,0.495196922544587,9,2820,"Consensus"
"ENSG00000004399","AC","inf",1,"CHIP_HISTONE",9,0.291976890121933,9,2820,"Consensus"
"ENSG00000004399","AC","standard",1,"RNA_SEQ",10,0.479386392072259,10,2820,"Consensus"
"ENSG00000004399","AC","standard",1,"CHIP_HISTONE",10,0.317100644201982,10,2820,"Consensus"
"ENSG00000004399","AC","standard",2,"CHIP_HISTONE",79,0.399112611612722,79,2819,"Standard-specific"
"ENSG00000004399","AC","standard",2,"RNA_SEQ",79,0.489934805368073,79,2819,"Standard-specific"
"ENSG00000004399","DLPFC","inf",1,"CHIP_TF",19,0.423999246052178,19,2822,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"RNA_SEQ",19,0.627497798856121,19,2822,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"DNASE",19,0.523333365810618,19,2822,"Consensus"
"ENSG00000004399","DLPFC","inf",1,"CHIP_HISTONE",19,0.188343721892882,19,2822,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"RNA_SEQ",1,0.999391406774521,1,2821,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"CHIP_HISTONE",1,0.0199272719522317,1,2821,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"CHIP_TF",1,0.103452436625957,1,2821,"Consensus"
"ENSG00000004399","DLPFC","inf",2,"DNASE",1,0.449849426746368,1,2821,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"CHIP_HISTONE",19,0.192769668161397,19,2822,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"CHIP_TF",19,0.431029887421599,19,2822,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"DNASE",19,0.524185506668582,19,2822,"Consensus"
"ENSG00000004399","DLPFC","standard",1,"RNA_SEQ",19,0.626654295113711,19,2822,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"CHIP_TF",1,0.103452436625957,1,2821,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"RNA_SEQ",1,0.999391406774521,1,2821,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"CHIP_HISTONE",1,0.0199272719522317,1,2821,"Consensus"
"ENSG00000004399","DLPFC","standard",2,"DNASE",1,0.449849426746368,1,2821,"Consensus"
"ENSG00000004399","PCC","inf",1,"CHIP_HISTONE",21,0.321976153426629,21,2823,"Consensus"
"ENSG00000004399","PCC","inf",1,"DNASE",21,0.514491742988237,21,2823,"Consensus"
"ENSG00000004399","PCC","standard",1,"DNASE",21,0.522792740303088,21,2823,"Consensus"
"ENSG00000004399","PCC","standard",1,"CHIP_HISTONE",21,0.329929881753012,21,2823,"Consensus"
"ENSG00000004766","AC","inf",1,"CHIP_HISTONE",1,0.133527368307114,1,3713,"Consensus"
"ENSG00000004766","AC","inf",1,"RNA_SEQ",1,0.997084379196167,1,3713,"Consensus"
"ENSG00000004766","AC","standard",1,"RNA_SEQ",1,0.997084379196167,1,3713,"Consensus"
"ENSG00000004766","AC","standard",1,"CHIP_HISTONE",1,0.133527368307114,1,3713,"Consensus"
"ENSG00000005156","AC","inf",1,"CHIP_HISTONE",9,0.464364940406511,9,1342,"Consensus"
"ENSG00000005156","AC","inf",1,"RNA_SEQ",9,0.459774923871984,9,1342,"Consensus"
"ENSG00000005156","AC","inf",2,"RNA_SEQ",23,0.54722053409872,23,1343,"Consensus"
"ENSG00000005156","AC","inf",2,"CHIP_HISTONE",23,0.35098232400845,23,1343,"Consensus"
"ENSG00000005156","AC","standard",1,"RNA_SEQ",9,0.454218621832061,9,1342,"Consensus"
"ENSG00000005156","AC","standard",1,"CHIP_HISTONE",9,0.460305333688455,9,1342,"Consensus"
"ENSG00000005156","AC","standard",2,"RNA_SEQ",22,0.548870573075598,22,1343,"Consensus"
"ENSG00000005156","AC","standard",2,"CHIP_HISTONE",22,0.345777181865773,22,1343,"Consensus"
"ENSG00000005156","DLPFC","inf",1,"CHIP_HISTONE",8,0.247973331617461,8,1345,"Consensus"
"ENSG00000005156","DLPFC","inf",1,"RNA_SEQ",8,0.417540616822937,8,1345,"Consensus"
"ENSG00000005156","DLPFC","inf",1,"DNASE",8,0.44360350624882,8,1345,"Consensus"
"ENSG00000005156","DLPFC","inf",1,"CHIP_TF",8,0.432320072606983,8,1345,"Consensus"
"ENSG00000005156","DLPFC","inf",2,"DNASE",22,0.605112913789878,22,1344,"Consensus"
"ENSG00000005156","DLPFC","inf",2,"RNA_SEQ",22,0.688451366834605,22,1344,"Consensus"
"ENSG00000005156","DLPFC","inf",2,"CHIP_TF",22,0.655255964534175,22,1344,"Consensus"
"ENSG00000005156","DLPFC","inf",2,"CHIP_HISTONE",22,0.436575850837559,22,1344,"Consensus"
"ENSG00000005156","DLPFC","standard",1,"CHIP_TF",8,0.41178216149644,8,1345,"Consensus"
"ENSG00000005156","DLPFC","standard",1,"CHIP_HISTONE",8,0.25593979651574,8,1345,"Consensus"
"ENSG00000005156","DLPFC","standard",1,"DNASE",8,0.439222243407845,8,1345,"Consensus"
"ENSG00000005156","DLPFC","standard",1,"RNA_SEQ",8,0.410797172216525,8,1345,"Consensus"
"ENSG00000005156","DLPFC","standard",2,"RNA_SEQ",22,0.688451366204845,22,1344,"Consensus"
"ENSG00000005156","DLPFC","standard",2,"DNASE",22,0.605112913572433,22,1344,"Consensus"
"ENSG00000005156","DLPFC","standard",2,"CHIP_HISTONE",22,0.436575850256177,22,1344,"Consensus"
"ENSG00000005156","DLPFC","standard",2,"CHIP_TF",22,0.655255964081947,22,1344,"Consensus"
"ENSG00000005156","PCC","inf",1,"DNASE",21,0.636400624244026,21,1346,"Consensus"
"ENSG00000005156","PCC","inf",1,"CHIP_HISTONE",21,0.328744732537616,21,1346,"Consensus"
"ENSG00000005156","PCC","standard",1,"CHIP_HISTONE",21,0.340564994262206,21,1346,"Consensus"
"ENSG00000005156","PCC","standard",1,"DNASE",21,0.645077366931999,21,1346,"Consensus"
"ENSG00000005194","AC","inf",1,"CHIP_HISTONE",2,0.200614269822836,2,1174,"Consensus"
"ENSG00000005194","AC","inf",1,"RNA_SEQ",2,0.446281209588051,2,1174,"Consensus"
"ENSG00000005194","AC","standard",1,"CHIP_HISTONE",2,0.200614269822836,2,1174,"Consensus"
"ENSG00000005194","AC","standard",1,"RNA_SEQ",2,0.446281209588051,2,1174,"Consensus"
"ENSG00000005436","AC","inf",1,"RNA_SEQ",22,0.58918707275886,22,2467,"Consensus"
"ENSG00000005436","AC","inf",1,"CHIP_HISTONE",22,0.342362393764874,22,2467,"Consensus"
"ENSG00000005436","AC","standard",1,"CHIP_HISTONE",21,0.347136527319248,21,2467,"Consensus"
"ENSG00000005436","AC","standard",1,"RNA_SEQ",21,0.583071032192459,21,2467,"Consensus"
"ENSG00000005436","PCC","inf",1,"CHIP_HISTONE",28,0.331769011799249,28,2468,"Consensus"
"ENSG00000005436","PCC","inf",1,"DNASE",28,0.567815312496535,28,2468,"Consensus"
"ENSG00000005436","PCC","standard",1,"CHIP_HISTONE",28,0.333512531911022,28,2468,"Consensus"
"ENSG00000005436","PCC","standard",1,"DNASE",28,0.547275884027492,28,2468,"Consensus"
"ENSG00000006282","AC","inf",1,"CHIP_HISTONE",1,0.353045733831823,1,1349,"Consensus"
"ENSG00000006282","AC","inf",1,"RNA_SEQ",1,0.966869354248047,1,1349,"Consensus"
"ENSG00000006282","AC","inf",2,"CHIP_HISTONE",3,0.237760416666655,3,1348,"Consensus"
"ENSG00000006282","AC","inf",2,"RNA_SEQ",3,0.700594743092955,3,1348,"Consensus"
"ENSG00000006282","AC","inf",4,"RNA_SEQ",5,0.971585809818261,5,1350,"Inf-specific"
"ENSG00000006282","AC","inf",4,"CHIP_HISTONE",5,0.573035988469947,5,1350,"Inf-specific"
"ENSG00000006282","AC","standard",1,"CHIP_HISTONE",1,0.353045733831823,1,1349,"Consensus"
"ENSG00000006282","AC","standard",1,"RNA_SEQ",1,0.966869354248047,1,1349,"Consensus"
"ENSG00000006282","AC","standard",2,"CHIP_HISTONE",3,0.237760416666667,3,1348,"Consensus"
"ENSG00000006282","AC","standard",2,"RNA_SEQ",3,0.700594743092855,3,1348,"Consensus"
"ENSG00000006282","AC","standard",3,"CHIP_HISTONE",1,0.717810106277466,1,1347,"Standard-specific"
"ENSG00000006282","AC","standard",3,"RNA_SEQ",1,0.343112081289291,1,1347,"Standard-specific"
"ENSG00000006282","DLPFC","inf",1,"DNASE",2,0.780728313929351,2,1352,"Consensus"
"ENSG00000006282","DLPFC","inf",1,"CHIP_TF",2,0.648770088427099,2,1352,"Consensus"
"ENSG00000006282","DLPFC","inf",1,"CHIP_HISTONE",2,0.560538679109987,2,1352,"Consensus"
"ENSG00000006282","DLPFC","inf",1,"RNA_SEQ",2,0.995090309340853,2,1352,"Consensus"
"ENSG00000006282","DLPFC","inf",2,"RNA_SEQ",4,0.664658823981903,4,1351,"Consensus"
"ENSG00000006282","DLPFC","inf",2,"DNASE",4,0.575157165527333,4,1351,"Consensus"
"ENSG00000006282","DLPFC","inf",2,"CHIP_HISTONE",4,0.200443514777981,4,1351,"Consensus"
